Max Depth,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC AUC,Test ROC AUC
1,0.9190856919423751,0.9194362984685566,0.4,0.4444444444444444,0.0009064813415923856,0.0008090614886731392,0.0018088634308109737,0.0016151827175449223,0.500393416686253,0.5003602327784992
2,0.9196640585860972,0.9194362984685566,0.5417976115650535,0.49865951742627346,0.043410384247368684,0.03762135922330097,0.0803804550540843,0.06996426556328757,0.5200899445410165,0.5171539356893314
3,0.919932876885292,0.9194362984685566,0.5618396519577378,0.49865951742627346,0.04552550737775092,0.03762135922330097,0.08422621820553433,0.06996426556328757,0.5212006829813571,0.5171539356893314
4,0.9199450958988917,0.9195666340827631,0.5583140877598153,0.5087281795511222,0.04869819207332427,0.0412621359223301,0.08958265783500857,0.07633302151543499,0.5226540831412699,0.5188857281071713
5,0.9205601195834131,0.9189801238188335,0.5985482970407594,0.4665127020785219,0.05398599989927985,0.04085760517799353,0.09903917220990392,0.07513483355030687,0.5253999093982843,0.5183822365673084
6,0.9215417136759273,0.9187031606386445,0.6593347639484979,0.4444444444444444,0.06189253160094677,0.0372168284789644,0.11316237742277059,0.06868234415826802,0.5295392943121413,0.5165707078109614
7,0.9235008288564225,0.9185239491691105,0.7377266696152145,0.4405010438413361,0.0840006043208944,0.04267799352750809,0.15082738041414231,0.07781670661995206,0.5406863902036267,0.518964625794869
8,0.9265963123016956,0.9184424894102313,0.8250088558271342,0.4403846153846154,0.11728861358714811,0.046318770226537215,0.20537918871252206,0.08382137628111273,0.5575497494467455,0.5205812435015315
9,0.9316834949637299,0.9184099055066797,0.9055760126249343,0.4463087248322148,0.1733897366168102,0.05380258899676375,0.29105203093960014,0.096028880866426,0.585899430884293,0.5239776287531128
10,0.9402245854699637,0.9166829586184425,0.9590643274853801,0.38227146814404434,0.2725487233721106,0.055825242718446605,0.4244705882352941,0.09742322626191316,0.6357625342627409,0.5239612428065265
11,0.9530138197043814,0.9159498207885305,0.9849632824338501,0.36874236874236876,0.4255426298030921,0.06108414239482201,0.5943170628780419,0.10480652437966337,0.7124854891976171,0.525961661529823
12,0.9677132930648952,0.9161453242098403,0.9968349158753956,0.3919062832800852,0.6027093720098706,0.0744336569579288,0.7512161441170009,0.12510623831378548,0.8012704892859485,0.5321580007803324
13,0.9844533416965693,0.9152981427174975,0.9994395316975963,0.36896197327852004,0.8082288361786776,0.07261326860841424,0.8937212863705972,0.12134527632246071,0.9040944767611577,0.5308668440993733
14,0.9953649208411569,0.9152655588139459,1.0,0.36656282450674976,0.942690235181548,0.07139967637540454,0.9704997926171713,0.11951921449128153,0.971345117590774,0.5302954863555385
15,0.9994379253744109,0.9157706093189965,1.0,0.3777056277056277,0.9930503097144584,0.07059061488673139,0.9965130382049727,0.11895023858214042,0.9965251548572291,0.5302010413720637
16,0.9998981748866687,0.9157706093189965,1.0,0.37901498929336186,0.9987409981366773,0.07160194174757281,0.9993701025473053,0.12044913235794488,0.9993704990683386,0.530662406836647
17,0.9999918539909335,0.9157543173672206,0.999949639925467,0.37595628415300547,0.999949639925467,0.06957928802588997,0.999949639925467,0.11742618194231097,0.9999726042596022,0.5297308163143128
18,0.9999918539909335,0.9154447702834799,0.999949639925467,0.3614864864864865,0.999949639925467,0.06492718446601942,0.999949639925467,0.11008230452674897,0.9999726042596022,0.5274402029070475
19,0.9999918539909335,0.9152981427174975,1.0,0.35942668136714445,0.9998992798509342,0.06593851132686084,0.9999496373892023,0.1114339429157409,0.999949639925467,0.5278218320331235
20,0.9999918539909335,0.9143857934180515,1.0,0.3434038267875126,0.9998992798509342,0.06897249190938512,0.9999496373892023,0.11487283139632812,0.999949639925467,0.5287097912094944
