Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Logistic Regression Classifier,0.7797381116471399,0.683009708737864,0.5982142857142857,0.6378059836808704,0.7325152603362373,0.20024490356445312
Logistic Regression Classifier Scaled,0.7783597518952446,0.6769743101807802,0.6050170068027211,0.63897620116749,0.7332651829852888,0.056284189224243164
Logistic Regression Classifier with Feature Selection,0.7144038594073053,0.6303538175046555,0.28784013605442177,0.39521307647402215,0.6034346509356343,0.1650562286376953
Logistic Regression Classifier with Feature Selection Scaled,0.7168849069607167,0.6239600665557404,0.31887755102040816,0.4220596510973551,0.613344547486545,0.04511451721191406
Decision Tree Classifier,0.8567884217780841,0.7704985578903997,0.7950680272108843,0.7825905001046245,0.8407320556205351,0.14049577713012695
Decision Tree Classifier Scaled,0.8559614059269469,0.7703764997931319,0.7916666666666666,0.7808764940239045,0.8392353321095927,0.14314913749694824
Decision Tree Classifier with Feature Selection,0.7964162646450723,0.686091025095704,0.6857993197278912,0.685945141399107,0.7676396149934581,0.11261701583862305
Decision Tree Classifier with Feature Selection Scaled,0.7979324603721571,0.6894781864841745,0.685374149659864,0.6874200426439232,0.7686507705264443,0.10963273048400879
Random Forest Classifier,0.8879393521709166,0.8483476686283387,0.7967687074829932,0.8217496163122122,0.8642215962460856,3.957353353500366
Random Forest Classifier Scaled,0.8873880082701585,0.847757136384232,0.7954931972789115,0.8207940337793377,0.8634818627634614,3.9509997367858887
Random Forest Classifier with Feature Selection,0.8050999310820124,0.6977234401349073,0.703656462585034,0.7006773920406435,0.7787097324142791,4.063124656677246
Random Forest Classifier with Feature Selection Scaled,0.808407994486561,0.707685664939551,0.6968537414965986,0.7022279348757499,0.7793875070933942,4.1180620193481445
Gradient Boosting Classifier,0.8471399035148174,0.8162849872773537,0.6819727891156463,0.7431086402594395,0.804172199167246,2.638402223587036
Gradient Boosting Classifier Scaled,0.8471399035148174,0.8162849872773537,0.6819727891156463,0.7431086402594395,0.804172199167246,2.698068141937256
Gradient Boosting Classifier with Feature Selection,0.7758787043418333,0.6968546637744034,0.546343537414966,0.6124880838894184,0.7161658539614092,1.9969792366027832
Gradient Boosting Classifier with Feature Selection Scaled,0.7758787043418333,0.6968546637744034,0.546343537414966,0.6124880838894184,0.7161658539614092,1.9804959297180176
KNN Classifier,0.8405237767057202,0.7640300486080425,0.7351190476190477,0.7492957746478874,0.8131030685780329,0.48136425018310547
KNN Classifier Scaled,0.8526533425223983,0.779520697167756,0.7606292517006803,0.7699591134064988,0.828713565275182,1.5680692195892334
KNN Classifier with Feature Selection,0.7909028256374914,0.6766821836648328,0.6798469387755102,0.6782608695652174,0.7620119866221015,0.3029153347015381
KNN Classifier with Feature Selection Scaled,0.7955892487939352,0.692512184315463,0.6645408163265306,0.6782382295508788,0.7614974120384438,0.7219150066375732
AdaBoost Classifier,0.8070296347346657,0.718951241950322,0.6645408163265306,0.6906760936809545,0.769961617626859,0.8410155773162842
AdaBoost Classifier Scaled,0.8070296347346657,0.718951241950322,0.6645408163265306,0.6906760936809545,0.769961617626859,0.8455338478088379
AdaBoost Classifier with Feature Selection,0.7567195037904894,0.6745984533016062,0.48214285714285715,0.562360525663278,0.6852892543923546,0.7266213893890381
AdaBoost Classifier with Feature Selection Scaled,0.7567195037904894,0.6745984533016062,0.48214285714285715,0.562360525663278,0.6852892543923546,0.680748701095581
