Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Logistic Regression Classifier,0.8444542838166925,0.7325721153846154,0.48172297964829086,0.5812373346048396,0.7154677441039903,0.8921866416931152
Logistic Regression Classifier Scaled,0.8467566969227364,0.7328288707799767,0.4975301323849042,0.5926797693303519,0.7225724161125616,0.28220415115356445
Logistic Regression Classifier with Feature Selection,0.8472880230241311,0.7395957193816884,0.49160245010867415,0.5906231454005935,0.7208069315140495,0.8028550148010254
Logistic Regression Classifier with Feature Selection Scaled,0.8480850121762231,0.7374708624708625,0.5000987947046038,0.5960202519722124,0.724341796347965,0.2869572639465332
Decision Tree Classifier,0.7893292007969892,0.5290619604834068,0.5449515905947441,0.5368892349620401,0.7024290023277304,1.4216265678405762
Decision Tree Classifier Scaled,0.7883108257693159,0.5269853508095605,0.5402094447737601,0.5335154649234072,0.7000864617158004,1.5327863693237305
Decision Tree Classifier with Feature Selection,0.7836617223821121,0.5168236877523553,0.5311203319502075,0.5238744884038199,0.6938584996888676,0.9794666767120361
Decision Tree Classifier with Feature Selection Scaled,0.7844144343590879,0.518362662586075,0.5354672989527761,0.5267761687238799,0.6958893216973421,0.9521782398223877
Random Forest Classifier,0.8569404471994687,0.7716745843230404,0.5135348745307251,0.6166805077707913,0.7348260996712059,24.751709461212158
Random Forest Classifier Scaled,0.8584458711534204,0.7750885478158206,0.5188697885793322,0.6216120250917269,0.7376932827854433,24.805765390396118
Random Forest Classifier with Feature Selection,0.8531326101394731,0.7598331346841478,0.5038529934795495,0.6059165973624807,0.7289294640988252,19.058738231658936
Random Forest Classifier with Feature Selection Scaled,0.8525570068629621,0.7552344441167798,0.5060264769808338,0.606010411736867,0.72933143068398,19.643664598464966
Gradient Boosting Classifier,0.8529555014390082,0.7557319223985891,0.5080023710729105,0.6075859624246721,0.7302908454314564,21.357314825057983
Gradient Boosting Classifier Scaled,0.8526455612131946,0.75343667739105,0.5089903181189488,0.6075471698113207,0.7304424313717319,21.533164739608765
Gradient Boosting Classifier with Feature Selection,0.8493690502545937,0.7450516986706056,0.49832049002173484,0.5972057778830215,0.7245368713518854,13.892945051193237
Gradient Boosting Classifier with Feature Selection Scaled,0.8493690502545937,0.7430413126281864,0.5010867417506422,0.5985367004956337,0.7255205450364716,13.645542860031128
KNN Classifier,0.8441000664157626,0.7085590465872156,0.5168938944872555,0.5977379184279675,0.7277461939909458,3.5582339763641357
KNN Classifier Scaled,0.8358645118441443,0.6848716548334244,0.4955542382928275,0.575031525851198,0.7148508466058979,3.281918525695801
KNN Classifier with Feature Selection,0.8387425282266991,0.6872525732383215,0.5145228215767634,0.5884745762711865,0.7234506369924447,4.266079902648926
KNN Classifier with Feature Selection Scaled,0.8388310825769316,0.6869244935543278,0.5159059474412172,0.5892575039494471,0.7239995384318618,5.603025197982788
AdaBoost Classifier,0.8465795882222714,0.7356763142350856,0.4921952183362972,0.5897951935598438,0.7205612019551835,5.064918756484985
AdaBoost Classifier Scaled,0.8464024795218065,0.7356423919478982,0.49100968188105115,0.588932337954734,0.7200254983246845,5.170863151550293
AdaBoost Classifier with Feature Selection,0.8450741642683197,0.7366666666666667,0.4803398537838372,0.5815093888290874,0.7153753594415648,3.629166841506958
AdaBoost Classifier with Feature Selection Scaled,0.8451627186185522,0.7374013357619915,0.47994467496542187,0.5814482345900658,0.7152918992266051,3.5253002643585205
